C10orf55	TNS1-AS1	AL117329.1	AC010789.1	LINC02672	LINC01537	LINC01940	AL023755.1	AC107419.1	AC011287.1	LINC01436	AC005064.1	CNTFR-AS1	UNC5B-AS1	HOXA11-AS	AC112206.2	LINC01234	PURPL	AC010343.3	LINC01605	AC091182.2	LINC02055	AP003555.1	LINC02688	AP000880.1	TBX5-AS1	RHOXF1-AS1	LINC00930	LINC01269	LINC02820	LINC01711	AC087623.2	AC010913.1	AC009159.3	FP236383.3	AC018865.2	AC092979.2	AL732437.2	condition
42	105	5	3	4	11	2	5	0	4	1865	0	0	54	1	6	4	2	3	62	7	3	29	681	4	7	20	53	81	0	91	35	10	15	0	0	0	6	1
26	30	1	0	2	4	186	0	0	1	2	0	0	84	2	20	1	2	2	90	29	4	38	48	3	0	22	36	41	0	1062	28	9	30	0	2	0	2	1
22	42	5	1	1	3	1	19	1	23	17	1	0	13	6	20	3	3	16	55	7	22	24	10	1	4	166	14	34	0	81	13	5	34	14	0	169	0	1
30	40	4	68	1	1	2	73	13	838	94	0	1	34	3	14	147	19	30	71	16	17	26	9	1	1	67	10	10	0	38	9	5	14	0	4	18	3	1
17	56	3	6	0	5	91	43	13	13	15	8	3	44	12	134	10	12	192	137	15	30	140	34	2	1	103	65	29	4	53	19	8	24	1	13	24	3	1
9	112	3	1	0	5	5	12	6	21	16	0	1	39	0	29	2	48	22	45	5	21	33	12	0	0	64	103	43	0	38	13	12	47	1	0	3	4	1
24	47	2	1	1	6	14	9	2	180	10	1	0	117	5	11	5	5	5	28	2	15	42	69	1	0	38	20	4	1	38	10	11	25	6	2	5	42	1
8	41	9	35	19	7	13	9	4	1047	7	4	2	10	1	16	35	16	3	20	5	20	43	13	4	2	47	33	39	0	31	8	8	24	14	74	5	2	1
23	63	1157	77	4	14	6	1082	126	2953	162	0	4	53	15	555	142	20	30	101	24	43	28	4	6	11	80	32	19	124	95	13	4	40	0	510	3	3	1
13	49	19	0	11	3	0	13	5	24	13	1	4	108	0	14	7	17	20	43	8	4	31	20	0	11	41	73	46	0	36	19	9	19	1	0	17	0	1
55	42	12	2	1	15	1	18	3	22	46	4	3	94	48	4	7	11	13	78	31	19	20	42	4	7	69	10	18	0	59	68	10	13	1	2	59	2	1
18	46	18	10	0	3	9	389	38	160	20	1	2	8	3	4	23	3	89	32	7	10	6	0	4	1	27	1	3	35	10	17	14	9	4	289	8	0	1
12	16	0	0	6	3	7	0	0	1	25	0	41	156	9	1	0	1	31	16	3	0	36	10	1	1	12	4	9	0	36	11	10	15	0	0	0	3	1
9	68	208	8	6	4	11	11	81	116	6	3	2	23	2	15	19	50	80	48	7	5	19	10	6	0	40	306	8	2	69	10	4	18	0	128	4	4	1
16	19	0	0	92	12	1	1	0	1	74	3	0	159	27	4	969	0	5	10	2	5	48	249	4	4	369	28	52	2	11	24	5	8	1	1	1	5	1
16	62	5	2	5	10	5	15	4	37	134	11	0	24	88	12	1	11	6	42	13	17	38	172	3	5	47	159	8	3	23	15	7	36	1	3	11	3	1
12	13	3	51	3	20	5	3	2	6	133	3	3	7	50	11	2	1	4	41	9	10	27	6	3	5	36	25	23	3	32	15	4	15	0	8	0	3	1
7	5	1	0	1	6	1	4	1	0	4	2	0	409	23	7	0	1	1	14	1	1	46	3111	3	2	56	43	8	1	22	40	7	26	0	2	0	2	1
37	92	11	6	0	9	476	13	7	26	6	0	0	35	2	14	9	87	23	36	6	17	14	3049	5	2	77	19	13	0	49	28	8	30	3	0	9	6	1
25	14	0	73	5	16	1	4	7	21	53	2	0	35	137	4	56	2	1	24	0	0	17	631	0	5	573	78	14	12	92	13	3	29	0	81	1	10	1
17	13	0	1	3	12	18	13	3	35	110	5	1	17	0	12	3	6	7	66	8	46	29	1336	1	2	54	62	11	0	20	24	5	33	26	0	6	0	1
