C10orf55	TNS1-AS1	AL117329.1	AC010789.1	LINC02672	LINC01537	LINC01940	AL023755.1	AC107419.1	AC011287.1	LINC01436	AC005064.1	CNTFR-AS1	UNC5B-AS1	HOXA11-AS	AC112206.2	LINC01234	PURPL	AC010343.3	LINC01605	AC091182.2	LINC02055	AP003555.1	LINC02688	AP000880.1	TBX5-AS1	RHOXF1-AS1	LINC00930	LINC01269	LINC02820	LINC01711	AC087623.2	AC010913.1	AC009159.3	FP236383.3	AC018865.2	AC092979.2	AL732437.2	condition
0.5684	1.6641	0.0057	0.1042	0.059	0.5053	0.1092	0.292	0.0559	0.1429	1.0903	0.0699	0	4.8486	0.7002	0.0596	0.0157	0.119	0.4689	1.8143	1.1532	0.0635	11.2189	1.0786	0.08	0.0453	2.9733	2.1706	3.4798	0	5.8097	1.2141	0.1318	2.0134	1.9066	0	1.8845	0.0808	1
2.1664	0.5792	0	0.2448	0	0.2435	0.7909	0.4221	0.0109	0.3637	4.7678	0	0	4.3248	0.0954	0.362	0	0.9051	1.7445	2.793	1.0322	0.7838	4.7228	0.6282	0.376	0.2485	1.1345	0.3689	9.5389	0.8622	5.7841	1.0867	0.2322	2.8755	0	0.0182	0.4341	0.1266	1
1.2057	0.8516	0.0996	0.2617	0.0494	0.1953	0.2285	0.3385	0.2458	0.2752	31.1186	0	0	3.9474	0.051	0.1373	0.922	0.5123	1.9634	6.4963	2.897	0.05	3.1707	0.0926	0.134	0.6643	0.9895	0.4287	3.3113	0.1536	6.3493	1.3072	0.1104	0.9918	0	0.0776	0.0928	0.0338	1
0.708	0.9674	0.0932	0.0779	0.0881	0.1162	0.0408	0.1846	3.7403	0.251	34.4983	0.0261	0	1.0066	0.0455	0.2674	0.0118	0.0635	3.8334	2.2445	0.985	0.0475	2.2011	1.2403	0.299	0.0339	1.7379	0.0765	1.3004	0	10.0094	2.2038	0.2709	0.7082	0.0162	0.1213	0.58	0.1812	1
0.5799	0.2829	0.0058	0	0	0.5155	0	0	0.271	0	0.4635	0.1426	0.0373	8.1069	1.646	0.0608	0.008	0.0347	0	0.9574	0.6723	0.0838	0.8584	1.4672	0	0.1156	0.7389	0.0627	0.4841	0	5.3244	1.5041	0.2353	2.2957	0	0	0	0	1
1.0419	1.1336	0.0042	0.1549	0.0438	0.2311	0.2028	0.267	0.1143	0.1646	0.2026	0.1558	0.0816	1.3012	0.0226	0.0443	0	0.6694	0.1525	3.7662	1.8365	0.1332	2.5013	1.9526	0.3568	0.0168	0.9349	0.4566	2.1159	0.2727	9.66	1.998	0.2938	2.5525	0.0161	0.0517	1.3181	0.0901	1
0.5034	0.3838	0.0165	0.173	0.049	0.355	0.068	0.2051	0.1741	0.0475	3.3952	0	0	8.2761	0.3033	0	0.1306	0.1693	0.2434	2.6495	0.9576	0.0868	4.4251	0.7349	0	0	0.4115	0.2721	2.8896	0	2.2895	1.2962	0.0547	0.6884	0	0	0	0.0671	1
0.2942	1.0369	0.0073	0.1798	0	0.3353	0	0.0969	0.0241	0.0185	0.2352	0	0.0631	3.6022	0.0263	0.0129	0.0068	0.0733	0.1011	0.9716	0.2843	0.0258	2.0568	10.2363	0	0.0391	1.5457	0.4593	0.1365	0.3166	2.2938	1.1223	0.2274	3.4741	0	0.06	0	0	1
0.3001	0.9293	0.0483	7.7432	3.8075	0.071	0	3.5025	0.1448	1.1533	2.7123	0.1064	1.6498	1.3949	0.612	6.7574	0.0431	0.2588	0.25	4.002	1.9069	0.4459	9.3124	1.1626	0.0975	0.0414	1.2308	1.6218	3.4691	24.2548	0.8998	1.4265	0.3814	2.6696	0	0.8896	1.0805	0.0246	1
0.4631	1.219	0.0273	0.134	0	0.125	0.0527	0.2311	0.018	0.2114	4.091	0.2472	0.0471	0.953	0.0196	0.0863	0.5818	2.6454	0.0754	1.0463	1.1656	0.5165	0.9922	4.4118	0.1544	0.0146	5.6639	0.1449	0.407	0.236	2.7869	2.3986	0.2331	2.6663	0.0139	0.0149	0.6417	0.052	1
